# Parkes_4.85GHz
#photon
# Parkes_4.85GHz
606867000.00000  0.00000
608098000.00000  0.00000
609334000.00000  0.00000
610575000.00000  0.00000
611821000.00000  1.00000
613073000.00000  1.00000
614329000.00000  1.00000
615590000.00000  1.00000
616857000.00000  1.00000
618129000.00000  1.00000
619406000.00000  1.00000
620688000.00000  1.00000
621976000.00000  1.00000
623269000.00000  1.00000
624568000.00000  0.00000
625872000.00000  0.00000
627181000.00000  0.00000
628496000.00000  0.00000
629816000.00000  0.00000
631142000.00000  0.00000
