# Effels_4.8GHz
#photon
# Effels_4.8GHz
613073000.00000  0.00000
614329000.00000  0.00000
615590000.00000  0.00000
616857000.00000  0.00000
618129000.00000  1.00000
619406000.00000  1.00000
620688000.00000  1.00000
621976000.00000  1.00000
623269000.00000  1.00000
624568000.00000  1.00000
625872000.00000  1.00000
627181000.00000  1.00000
628496000.00000  1.00000
629816000.00000  1.00000
631142000.00000  0.00000
632474000.00000  0.00000
633811000.00000  0.00000
635154000.00000  0.00000
636502000.00000  0.00000
637856000.00000  0.00000
